iter	Logloss
0	0.6754352373
1	0.6575694761
2	0.6443502917
3	0.6283266501
4	0.6187900544
5	0.608887223
6	0.6006034469
7	0.589538052
8	0.5830501833
9	0.5733669746
10	0.5642766528
11	0.5517127473
12	0.5434603964
13	0.5364880688
14	0.5308603076
15	0.523154786
16	0.5188304478
17	0.5096109293
18	0.503164078
19	0.4977182129
20	0.4901666067
21	0.4828520334
22	0.4784944904
23	0.473000953
24	0.4689180574
25	0.4657621887
26	0.4590975104
27	0.4539649866
28	0.4490270437
29	0.444345139
30	0.439433246
31	0.4371303375
32	0.4330920436
33	0.4296055302
34	0.4266498271
35	0.4235773186
36	0.4206686504
37	0.417823738
38	0.4155755413
39	0.412426394
40	0.4090587324
41	0.405816055
42	0.4033157923
43	0.4010106747
44	0.3966068652
45	0.3945083396
46	0.3904697468
47	0.3881523233
48	0.3858121854
49	0.3815408237
50	0.3795360172
51	0.3774005287
52	0.3737859953
53	0.3715028481
54	0.3693039338
55	0.366759159
56	0.3636992286
57	0.3604611323
58	0.3591559055
59	0.3563807103
60	0.3533045512
61	0.3501444184
62	0.3458229281
63	0.3438288131
64	0.3407914664
65	0.3387983926
66	0.3368285271
67	0.3343870468
68	0.3314664102
69	0.3273195488
70	0.3241063193
71	0.3224838479
72	0.3166564428
73	0.3130963401
74	0.3101687568
75	0.3082259294
76	0.3058204714
77	0.302727739
78	0.3002583959
79	0.2987729743
80	0.2941351678
81	0.2896769898
82	0.2856598414
83	0.2822756353
84	0.2806905124
85	0.2764984335
86	0.2721993487
87	0.2699732439
88	0.2649090842
89	0.2628101725
90	0.2597420507
91	0.2591707106
92	0.2578664717
93	0.2558932117
94	0.2528778099
95	0.2505130125
96	0.2495625793
97	0.2493241671
98	0.2466651628
99	0.2445420311
100	0.2401951163
101	0.2380110578
102	0.2360339688
103	0.2328488214
104	0.2321057437
105	0.2312429698
106	0.228880744
107	0.2264208287
108	0.2239440308
109	0.2211692203
110	0.2183882076
111	0.2153761751
112	0.2151616867
113	0.2123972122
114	0.2093898488
115	0.2091875824
116	0.2072565873
117	0.2066063585
118	0.2057598895
119	0.2053830433
120	0.2046165579
121	0.2021676773
122	0.1993439092
123	0.1991019317
124	0.1965843278
125	0.1948854091
126	0.194387184
127	0.1918386547
128	0.1897086079
129	0.1879242876
130	0.1877546463
131	0.1854636306
132	0.1852943605
133	0.1845671318
134	0.1826405378
135	0.1824771494
136	0.1823322808
137	0.1816494073
138	0.1815167809
139	0.179086715
140	0.1761895434
141	0.1759796578
142	0.1744207082
143	0.1722292401
144	0.1701047599
145	0.1699579422
146	0.168290502
147	0.1663647377
148	0.1644168467
149	0.1628520547
150	0.1626932493
151	0.1625819702
152	0.161144655
153	0.1610043514
154	0.1589462456
155	0.1579346425
156	0.1578196433
157	0.1554561454
158	0.1550877821
159	0.1526845952
160	0.1510627406
161	0.149509783
162	0.147998923
163	0.1471116079
164	0.1453846652
165	0.145121039
166	0.1439283411
167	0.1422909127
168	0.1407514884
169	0.1394737218
170	0.1383918838
171	0.1381432316
172	0.1379967899
173	0.1363034625
174	0.1360615179
175	0.1359589611
176	0.1352107224
177	0.1351074445
178	0.1349529662
179	0.133831064
